buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
FAR EAST PLAZA,"14 SCOTTS ROAD, SINGAPORE 228213",Commercial Building,Retail,Large,1983,GoldPlus,2014,Existing Building for Non-Residential buildings (version 3),"40,749",95%,91%,N/A,Water Cooled Chilled Water Plant,6,0.63,2020,100%,N,328.92,333.71,334.59,292.09
W SINGAPORE SENTOSA COVE HOTEL,"21 OCEAN WAY, SINGAPORE 098374",Commercial Building,Hotel,Large,2012,Platinum,2012,New Building for Non-Residential buildings (version 3),"23,800",56%,80%,240,Water Cooled Chilled Water Plant,8,N/A,N/A,70%,N,402.45,404.51,402.65,335.27
ORCHARD CENTRAL,"181 ORCHARD ROAD, SINGAPORE 238896",Commercial Building,Retail,Large,2009,N/A,N/A,N/A,"29,595",80%,85%,N/A,Water Cooled Chilled Water Plant,10,N/A,N/A,30%,N,650.97,770.35,736.13,604.25
TEKKA PLACE,"2 SERANGOON ROAD, SINGAPORE 218227",Commercial Building,Mixed Development,Large,2019,GoldPlus,2019,Non-Residential Buildings NRB: 2015,"22,162",47%,58%,320,Air Cooled Chilled Water Plant,1,0.65,2021,10%,N,N/A,N/A,40.90,170.32
COMCENTRE,"31 EXETER ROAD, SINGAPORE 239732",Commercial Building,Office,Large,1981,N/A,N/A,N/A,"104,962",79%,100%,N/A,Water Cooled Chilled Water Plant,14,0.72,2014,50%,N,394.62,364.76,358.51,328.68
PICKERING OPERATION CENTRE,"20 PICKERING STREET, SINGAPORE 048658",Commercial Building,Office,Large,1989,N/A,N/A,N/A,"34,560",52%,90%,N/A,Water Cooled Chilled Water Plant,1,0.55,2019,73%,N,351.12,333.11,259.47,222.24
TAMPINES ONE,"10 TAMPINES CENTRAL 1, SINGAPORE 529536",Commercial Building,Retail,Large,2009,GoldPlus,2019,Existing Building for Non-Residential buildings (version 3),"35,386",90%,99%,N/A,Water Cooled Chilled Water Plant,11,0.68,2018,50%,N,456.84,455.41,466.10,416.07
CENTURY SQUARE,"2 TAMPINES CENTRAL 5, SINGAPORE 529509",Commercial Building,Retail,Large,1995,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"30,400",82%,98%,N/A,Water Cooled Chilled Water Plant,1,0.59,2019,95%,N,368.40,310.65,478.93,403.35
HOUGANG MALL,"90 HOUGANG AVENUE 10, SINGAPORE 538766",Commercial Building,Retail,Large,1996,N/A,N/A,N/A,"21,615",100%,100%,N/A,Water Cooled Chilled Water Plant,5,0.83,2015,24%,N,593.01,583.39,584.57,542.34
FRASERS TOWER,"182 CECIL STREET, SINGAPORE 069547",Commercial Building,Office,Large,2018,Platinum,2017,New Building for Non-Residential buildings (version 4.1),"76,208",88%,93%,N/A,Others,0,0.58,2020,60%,N,N/A,63.28,151.34,153.60
SCOTTSWALK,"25 SCOTTS ROAD, SINGAPORE 228220",Commercial Building,Mixed Development,Large,1972,Gold,2013,Existing Building for Non-Residential buildings (version 2.1),"47,107",100%,100%,511,Water Cooled Chilled Water Plant,6,0.77,2010,92%,N,279.54,273.22,268.62,200.15
CARLTON CITY SINGAPORE,"1 GOPENG STREET, SINGAPORE 078862",Commercial Building,Hotel,Large,2013,Platinum,2017,New Building for Non-Residential buildings (version 3),"20,331",90%,90%,386,Water Cooled Chilled Water Plant,6,0.64,2017,59%,N,275.60,272.49,270.47,221.59
BALMORAL PLAZA,"271 BUKIT TIMAH ROAD, SINGAPORE 259708",Commercial Building,Retail,Small,1990,N/A,N/A,N/A,"12,349",63%,90%,N/A,Water Cooled Packaged Unit,23,N/A,N/A,0%,N,224.87,233.60,222.00,188.44
HEALTH PROMOTION BOARD,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Commercial Building,Office,Large,1996,Platinum,2020,Existing Building for Non-Residential buildings (version 2.1),"32,148",73%,100%,N/A,Water Cooled Chilled Water Plant,8,0.65,2020,30%,N,169.18,164.40,159.09,148.40
N/A,"21 JURONG EAST STREET 31, SINGAPORE 609517",Commercial Building,Office,Large,2000,N/A,N/A,N/A,"91,069",0%,50%,N/A,Others,17,N/A,N/A,0%,N,45.21,41.89,40.57,32.55
MYP CENTRE,"9 BATTERY ROAD, SINGAPORE 049910",Commercial Building,Office,Large,2009,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"18,565",80%,100%,N/A,Others,10,N/A,N/A,0%,N,200.80,193.83,170.90,116.01
PARK ROCHESTER AVENUE,"31 ROCHESTER DRIVE, SINGAPORE 138637",Commercial Building,Hotel,Large,2011,Gold,2009,New Building for A/C buildings (version 2),"18,881",100%,70%,351,District Cooling Plant,10.1,N/A,N/A,40%,N,162.35,164.22,166.84,153.17
N/A,"10 SCIENCE CENTRE ROAD, SINGAPORE 609079",Commercial Building,Office,Small,2014,Legislated,2015,N/A,"7,043",74%,55%,N/A,Others,2,N/A,N/A,8%,N,65.23,78.59,88.09,82.84
BENCOOLEN RESIDENCES,"51 BENCOOLEN STREET, SINGAPORE 189630",Commercial Building,Hotel,Small,2004,N/A,N/A,N/A,"9,336",23%,70%,107,Others,13,N/A,N/A,30%,N,207.05,213.51,187.36,120.42
N/A,"1 KEONG SAIK ROAD, SINGAPORE 089109",Commercial Building,Office,Small,1992,N/A,N/A,N/A,"3,181",77%,100%,N/A,Others,3,N/A,N/A,35%,N,295.79,289.47,306.19,259.80
N/A,"11 TAMPINES CONCOURSE, SINGAPORE 528729",Commercial Building,Office,Small,2009,GoldPlus,2018,Existing Building for Non-Residential buildings (version 2.1),"11,520",89%,93%,N/A,Others,9,N/A,N/A,0%,N,205.24,195.52,191.94,147.07
TANGLIN MALL,"163 TANGLIN ROAD, SINGAPORE 247933",Commercial Building,Retail,Large,1994,N/A,N/A,N/A,"24,000",83%,95%,N/A,Water Cooled Chilled Water Plant,6,0.65,2012,40%,N,522.79,522.23,505.63,399.37
CENTRAL SQUARE,"20 HAVELOCK ROAD, SINGAPORE 059765",Commercial Building,Hotel,Large,1998,N/A,N/A,N/A,"17,068",32%,70%,127,Others,0,N/A,N/A,25%,N,180.92,182.01,192.48,146.90
THE ATRIUM @ ORCHARD,"60 ORCHARD ROAD, SINGAPORE 238889",Commercial Building,Mixed Development,Large,2002,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"53,582",80%,98%,N/A,Water Cooled Chilled Water Plant,6,0.72,2019,75%,N,239.03,229.41,240.01,76.25
PLAZA SINGAPURA,"68 ORCHARD ROAD, SINGAPORE 238839",Commercial Building,Retail,Large,1998,Gold,2019,Existing Building for Non-Residential buildings (version 2.1),"70,347",66%,99%,N/A,Water Cooled Chilled Water Plant,16,0.67,2019,95%,N,392.62,410.51,396.46,331.67
ST. REGIS HOTEL SINGAPORE,"29 TANGLIN ROAD, SINGAPORE 247911",Commercial Building,Hotel,Large,2007,GoldPlus,2006,New Building (version 1),"30,850",95%,78%,299,Others,0,0.75,2013,25%,N,415.13,384.82,408.88,298.57
HOTEL ROYAL,"36 NEWTON ROAD, SINGAPORE 307964",Commercial Building,Hotel,Large,1970,N/A,N/A,N/A,"23,500",31%,75%,362,Water Cooled Chilled Water Plant,22,N/A,N/A,72%,N,220.73,225.55,230.88,221.09
CHIJMES,"30 VICTORIA STREET, SINGAPORE 187996",Commercial Building,Retail,Large,2014,Legislated,2015,N/A,"119,287",6%,98%,N/A,Air Cooled Chilled Water Plant,15,N/A,N/A,5%,N,510.70,520.05,68.34,53.50
GOLDEN MILE COMPLEX,"5001 BEACH ROAD, SINGAPORE 199588",Commercial Building,Retail,Large,1973,N/A,N/A,N/A,"66,479",45%,70%,N/A,Water Cooled Chilled Water Plant,16,N/A,N/A,0%,N,162.86,166.04,165.47,145.65
PIXEL,"10 CENTRAL EXCHANGE GREEN, SINGAPORE 138649",Commercial Building,Office,Small,2009,N/A,N/A,N/A,"5,111",78%,10%,N/A,Others,4,N/A,N/A,2%,N,92.83,113.16,116.00,109.80
N/A,"20 AYER RAJAH CRESCENT, SINGAPORE 139964",Commercial Building,Office,Large,1999,N/A,N/A,N/A,"38,349",80%,87%,N/A,Water Cooled Chilled Water Plant,16,N/A,N/A,90%,N,1898.57,1878.61,1903.46,2043.55
INCOME AT TAMPINES JUNCTION,"300 TAMPINES AVENUE 5, SINGAPORE 529653",Commercial Building,Office,Large,1998,GoldPlus,2016,Existing Building for Non-Residential buildings (version 3),"19,566",76%,78%,N/A,Others,0,0.66,2015,0%,N,186.48,195.44,202.37,170.33
FOUR SEASONS HOTEL,"190 ORCHARD BOULEVARD, SINGAPORE 248646",Commercial Building,Hotel,Large,1994,Certified,2019,Existing Non-Residental Buildings ENRB: 2017,"34,630",98%,32%,259,Water Cooled Chilled Water Plant,7,N/A,N/A,75%,N,313.07,301.49,302.68,225.88
N/A,"36 ARMENIAN STREET, SINGAPORE 179934",Commercial Building,Office,Small,2010,Certified,2009,New Building for A/C buildings (version 2),"5,901",5%,75%,N/A,Others,4,N/A,N/A,44%,N,103.36,111.03,96.87,82.20
ALFA CENTRE,"99 BUKIT TIMAH ROAD, SINGAPORE 229835",Commercial Building,Office,Small,1994,N/A,N/A,N/A,"7,526",100%,95%,N/A,Water Cooled Chilled Water Plant,21,1.03,2009,0%,N,252.61,255.15,230.99,192.21
PHILIPPINE AIRLINES BUILDING,"135 CECIL STREET, SINGAPORE 069536",Commercial Building,Office,Small,2007,N/A,N/A,N/A,"9,374",81%,65%,N/A,Others,9,N/A,N/A,0%,N,168.42,191.56,191.38,167.29
THE ADELPHI,"1 COLEMAN STREET, SINGAPORE 179803",Commercial Building,Mixed Development,Large,1990,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"41,158",97%,100%,N/A,Water Cooled Chilled Water Plant,4,0.59,2018,100%,N,230.06,159.71,152.19,127.61
THONG TECK BUILDING,"15 SCOTTS ROAD, SINGAPORE 228218",Commercial Building,Office,Small,1973,N/A,N/A,N/A,"11,481",87%,90%,N/A,Water Cooled Chilled Water Plant,1,N/A,N/A,100%,N,139.63,102.12,103.65,89.43
CAPITAGREEN,"138 MARKET STREET, SINGAPORE 048946",Commercial Building,Office,Large,2014,Platinum,2020,New Building for Non-Residential buildings (version 4),"82,003",87%,90%,N/A,Water Cooled Chilled Water Plant,6,0.56,2021,30%,N,173.72,176.09,179.50,156.31
UP@ROBERTSON QUAY,"90 ROBERTSON QUAY, SINGAPORE 238259",Commercial Building,Hotel,Small,2016,Platinum,2020,New Building for Non-Residential buildings (version 4),"7,999",97%,68%,293,Water Cooled Chilled Water Plant,5,117,2019,95%,N,366.46,361.38,359.58,326.76
PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Commercial Building,Office,Large,1999,Platinum,2015,Existing Building for Non-Residential buildings (version 3),"19,765",82%,60%,N/A,Water Cooled Chilled Water Plant,4,0.67,2017,21%,N,127.18,132.26,128.35,126.45
CENTROPOD @ CHANGI,"80 CHANGI ROAD, SINGAPORE 419715",Commercial Building,Office,Small,2015,N/A,N/A,N/A,"5,973",56%,20%,N/A,Others,6,N/A,N/A,0%,Y,145.55,142.38,154.81,132.69
CHOA CHU KANG CENTRE,"309 CHOA CHU KANG AVENUE 4, SINGAPORE 680309",Commercial Building,Office,Small,2001,N/A,N/A,N/A,"11,015",71%,100%,N/A,Others,18,N/A,N/A,80%,N,182.14,175.79,174.37,196.61
MACPHERSON MALL,"401 MACPHERSON ROAD, SINGAPORE 368125",Commercial Building,Mixed Development,Small,2016,Legislated,2016,N/A,"13,284",75%,80%,298,Water Cooled Chilled Water Plant,2,0.8,2017,99%,N,193.11,227.45,232.36,191.18
KINEX,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Commercial Building,Retail,Large,2014,Gold,2013,New Building for Non-Residential buildings (version 4),"28,938",100%,90%,N/A,Water Cooled Chilled Water Plant,7,0.65,2020,40%,N,430.68,396.02,389.63,360.79
ORCHARD GATEWAY,"277 ORCHARD ROAD, SINGAPORE 238858",Commercial Building,Mixed Development,Large,2014,Platinum,2020,New Building for Non-Residential buildings (version 3),"48,324",100%,99%,499,Water Cooled Chilled Water Plant,7,N/A,N/A,80%,N,370.82,369.80,369.88,302.62
FUNAN,"109 NORTH BRIDGE ROAD, SINGAPORE 179097",Commercial Building,Mixed Development,Large,2019,GoldPlus,2018,New Building for Non-Residential buildings (version 4.1),"80,858",93%,98%,329,Water Cooled Chilled Water Plant,2,N/A,N/A,100%,Y,N/A,N/A,208.43,365.25
TANJONG KATONG COMPLEX,"845 GEYLANG ROAD, SINGAPORE 400845",Commercial Building,Retail,Large,1983,N/A,N/A,N/A,"18,841",71%,88%,N/A,Water Cooled Chilled Water Plant,17,N/A,N/A,25%,N,233.81,221.81,216.03,144.90
VISION EXCHANGE,"2 VENTURE DRIVE, SINGAPORE 608526",Commercial Building,Office,Large,2017,GoldPlus,2016,New Building for Non-Residential buildings (version 4.1),"64,562",82%,64%,N/A,Water Cooled Chilled Water Plant,3,0.59,2019,78%,N,66.01,92.36,125.91,121.20
TEXTILE CENTRE,"200 JALAN SULTAN, SINGAPORE 199018",Commercial Building,Retail,Large,1977,N/A,N/A,N/A,"47,750",34%,95%,N/A,Water Cooled Chilled Water Plant,5,N/A,N/A,20%,N,147.40,138.09,148.09,123.41
